Timestamp, Offset, Jitter, Last Offset, RMS Offset, Root Delay, Root Dispersion, Sources Last Offset, Sources RMS, Sources Error
2024-05-13 15:57:01, -1ns, 787ns, -0.000000577, 0.000938328, 0.000000001, 0.000005658, -607ns[-1155ns], +/-, 
2024-05-13 15:57:01, -5ns, 787ns, -0.000000577, 0.000938328, 0.000000001, 0.000007088, -607ns[-1155ns], +/-, 
2024-05-13 15:57:01, -10ns, 787ns, -0.000000577, 0.000938328, 0.000000001, 0.000008524, -607ns[-1155ns], +/-, 
2024-05-13 15:57:01, -15ns, 787ns, -0.000000577, 0.000938328, 0.000000001, 0.000009927, -607ns[-1155ns], +/-, 
2024-05-13 15:57:01, -19ns, 787ns, -0.000000577, 0.000938328, 0.000000001, 0.000011308, -607ns[-1155ns], +/-, 
2024-05-13 15:57:01, -23ns, 787ns, -0.000000577, 0.000938328, 0.000000001, 0.000012750, -607ns[-1155ns], +/-, 
2024-05-13 15:57:01, -0ns, 756ns, -0.000000189, 0.000890176, 0.000000001, 0.000004788, -341ns[, -518ns], 406ns
2024-05-13 15:57:01, -2ns, 756ns, -0.000000189, 0.000890176, 0.000000001, 0.000006215, -341ns[, -518ns], 406ns
2024-05-13 15:57:01, -3ns, 756ns, -0.000000189, 0.000890176, 0.000000001, 0.000007661, -341ns[, -518ns], 406ns
2024-05-13 15:57:01, -4ns, 756ns, -0.000000189, 0.000890176, 0.000000001, 0.000009076, -341ns[, -518ns], 406ns
2024-05-13 15:57:01, -5ns, 756ns, -0.000000189, 0.000890176, 0.000000001, 0.000010448, -341ns[, -518ns], 406ns
2024-05-13 15:57:01, -6ns, 756ns, -0.000000189, 0.000890176, 0.000000001, 0.000011863, -341ns[, -518ns], 406ns
2024-05-13 15:57:01, -11ns, 681ns, -0.000000848, 0.000844495, 0.000000001, 0.000005501, +194ns[, -617ns], 402ns
2024-05-13 15:57:01, -32ns, 681ns, -0.000000848, 0.000844495, 0.000000001, 0.000006916, +194ns[, -617ns], 402ns
2024-05-13 15:57:01, -54ns, 681ns, -0.000000848, 0.000844495, 0.000000001, 0.000008393, +194ns[, -617ns], 402ns
2024-05-13 15:57:01, -76ns, 681ns, -0.000000848, 0.000844495, 0.000000001, 0.000009836, +194ns[, -617ns], 402ns
2024-05-13 15:57:01, -98ns, 681ns, -0.000000848, 0.000844495, 0.000000001, 0.000011295, +194ns[, -617ns], 402ns
2024-05-13 15:57:01, -121ns, 681ns, -0.000000848, 0.000844495, 0.000000001, 0.000012786, +194ns[, -617ns], 402ns
2024-05-13 15:57:01, +0ns, 411ns, +0.000000296, 0.000801158, 0.000000001, 0.000006084, -59ns[, +233ns], 400ns
2024-05-13 15:57:01, +1ns, 411ns, +0.000000296, 0.000801158, 0.000000001, 0.000007495, -59ns[, +233ns], 400ns
2024-05-13 15:57:01, +1ns, 411ns, +0.000000296, 0.000801158, 0.000000001, 0.000008941, -59ns[, +233ns], 400ns
2024-05-13 15:57:01, +1ns, 411ns, +0.000000296, 0.000801158, 0.000000001, 0.000010350, -59ns[, +233ns], 400ns
2024-05-13 15:57:01, +1ns, 411ns, +0.000000296, 0.000801158, 0.000000001, 0.000011769, -59ns[, +233ns], 400ns
2024-05-13 15:57:01, +2ns, 411ns, +0.000000296, 0.000801158, 0.000000001, 0.000013167, -59ns[, +233ns], 400ns
2024-05-13 15:57:01, +3ns, 458ns, +0.000000472, 0.000760045, 0.000000001, 0.000006075, +417ns[, +855ns], 405ns
2024-05-13 15:57:01, +9ns, 458ns, +0.000000472, 0.000760045, 0.000000001, 0.000007502, +417ns[, +855ns], 405ns
2024-05-13 15:57:01, +14ns, 458ns, +0.000000472, 0.000760045, 0.000000001, 0.000008939, +417ns[, +855ns], 405ns
2024-05-13 15:57:01, +19ns, 458ns, +0.000000472, 0.000760045, 0.000000001, 0.000010374, +417ns[, +855ns], 405ns
2024-05-13 15:57:01, +24ns, 458ns, +0.000000472, 0.000760045, 0.000000001, 0.000011831, +417ns[, +855ns], 405ns
2024-05-13 15:57:01, +29ns, 458ns, +0.000000472, 0.000760045, 0.000000001, 0.000013223, +417ns[, +855ns], 405ns
2024-05-13 15:57:01, -0ns, 443ns, -0.000000151, 0.000721042, 0.000000001, 0.000006080, -271ns[, -422ns], 405ns
2024-05-13 15:57:01, -0ns, 443ns, -0.000000151, 0.000721042, 0.000000001, 0.000007505, -271ns[, -422ns], 405ns
2024-05-13 15:57:01, -0ns, 443ns, -0.000000151, 0.000721042, 0.000000001, 0.000008907, -271ns[, -422ns], 405ns
2024-05-13 15:57:01, -0ns, 443ns, -0.000000151, 0.000721042, 0.000000001, 0.000010245, -271ns[, -422ns], 405ns
2024-05-13 15:57:01, -0ns, 443ns, -0.000000151, 0.000721042, 0.000000001, 0.000011680, -271ns[, -422ns], 405ns
2024-05-13 15:57:01, -0ns, 443ns, -0.000000151, 0.000721042, 0.000000001, 0.000013096, -271ns[, -422ns], 405ns
2024-05-13 15:57:01, -1ns, 485ns, -0.000000330, 0.000684041, 0.000000001, 0.000005780, -553ns[, -866ns], 412ns
2024-05-13 15:57:01, -3ns, 485ns, -0.000000330, 0.000684041, 0.000000001, 0.000007214, -553ns[, -866ns], 412ns
2024-05-13 15:58:30, -5ns, 485ns, -0.000000330, 0.000684041, 0.000000001, 0.000008889, -553ns[, -866ns], 412ns
2024-05-13 15:58:30, -6ns, 485ns, -0.000000330, 0.000684041, 0.000000001, 0.000010281, -553ns[, -866ns], 412ns
2024-05-13 15:58:30, -8ns, 485ns, -0.000000330, 0.000684041, 0.000000001, 0.000011699, -553ns[, -866ns], 412ns
2024-05-13 15:58:30, +0ns, 539ns, +0.000000345, 0.000648938, 0.000000001, 0.000004606, +680ns[+1011ns], +/-, 
2024-05-13 15:58:30, +1ns, 539ns, +0.000000345, 0.000648938, 0.000000001, 0.000006023, +680ns[+1011ns], +/-, 
2024-05-13 15:58:30, +3ns, 539ns, +0.000000345, 0.000648938, 0.000000001, 0.000007470, +680ns[+1011ns], +/-, 
2024-05-13 15:58:30, +4ns, 539ns, +0.000000345, 0.000648938, 0.000000001, 0.000008876, +680ns[+1011ns], +/-, 
2024-05-13 15:58:30, +5ns, 539ns, +0.000000345, 0.000648938, 0.000000001, 0.000010300, +680ns[+1011ns], +/-, 
2024-05-13 15:58:30, +6ns, 539ns, +0.000000345, 0.000648938, 0.000000001, 0.000011726, +680ns[+1011ns], +/-, 
2024-05-13 15:58:30, +0ns, 528ns, +0.000000169, 0.000615637, 0.000000001, 0.000006221, +359ns[, +514ns], 394ns
2024-05-13 15:58:30, +1ns, 528ns, +0.000000169, 0.000615637, 0.000000001, 0.000007637, +359ns[, +514ns], 394ns
2024-05-13 15:58:30, +2ns, 528ns, +0.000000169, 0.000615637, 0.000000001, 0.000009027, +359ns[, +514ns], 394ns
2024-05-13 15:58:30, +2ns, 528ns, +0.000000169, 0.000615637, 0.000000001, 0.000010429, +359ns[, +514ns], 394ns
2024-05-13 15:58:30, +3ns, 528ns, +0.000000169, 0.000615637, 0.000000001, 0.000011801, +359ns[, +514ns], 394ns
2024-05-13 15:58:30, +4ns, 528ns, +0.000000169, 0.000615637, 0.000000001, 0.000013239, +359ns[, +514ns], 394ns
2024-05-13 15:58:30, +0ns, 502ns, +0.000000001, 0.000584044, 0.000000001, 0.000005372, -9ns[, -10ns], 406ns
2024-05-13 15:58:30, +0ns, 502ns, +0.000000001, 0.000584044, 0.000000001, 0.000006755, -9ns[, -10ns], 406ns
